date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:56:59	2368/2368	---MCZ	200	added ('OK')	text/xml	date:Wed,%2015%20Nov%202017%2012:28:12%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fmasonry-gallery%2F&format=xml	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed36aa	(from http://unicaevents.ancorathemes.com/masonry-gallery/)
17:57:00	2271/2271	---MCZ	200	added ('OK')	application/json	date:Wed,%2015%20Nov%202017%2012:28:14%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fcobbles-gallery%2F	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed14d9.json	(from http://unicaevents.ancorathemes.com/cobbles-gallery/)
17:57:01	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Wed,%2015%20Nov%202017%2012:28:15%20GMT	http://unicaevents.ancorathemes.com/?p=895	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/index12e9.html	(from http://unicaevents.ancorathemes.com/cobbles-gallery/)
17:57:02	2368/2368	---MCZ	200	added ('OK')	text/xml	date:Wed,%2015%20Nov%202017%2012:28:15%20GMT	http://unicaevents.ancorathemes.com/wp-json/oembed/1.0/embed?url=http%3A%2F%2Funicaevents.ancorathemes.com%2Fcobbles-gallery%2F&format=xml	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-json/oembed/1.0/embedeb79	(from http://unicaevents.ancorathemes.com/cobbles-gallery/)
17:57:49	286236/286236	---M--	200	added ('OK')	image/jpeg	etag:%2257599448-45e1c%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/11/Depositphotos_32128821_original-1740x980.jpg	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/11/Depositphotos_32128821_original-1740x980.jpg	(from http://unicaevents.ancorathemes.com/all-posts/)
17:58:11	380442/380442	---M--	200	added ('OK')	image/jpeg	etag:%22565c9294-5ce1a%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/10/gallery-7-1740x980.jpg	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/10/gallery-7-1740x980.jpg	(from http://unicaevents.ancorathemes.com/all-posts/)
17:58:15	2002997/2002997	---M--	200	added ('OK')	image/jpeg	etag:%2257593729-1e9035%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/08/Depositphotos_63380897_original.jpg	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/08/Depositphotos_63380897_original.jpg	(from http://unicaevents.ancorathemes.com/shortcodes/)
17:58:16	80767/80767	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2012:29:29%20GMT	http://unicaevents.ancorathemes.com/a-surprising-business-idea/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/a-surprising-business-idea/index.html	(from http://unicaevents.ancorathemes.com/all-posts/)
17:58:39	134613/134613	---M--	200	added ('OK')	image/jpeg	etag:%225759967e-20dd5%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/11/home4-31-1740x980.jpg	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/11/home4-31-1740x980.jpg	(from http://unicaevents.ancorathemes.com/all-posts/)
17:58:39	310698/310698	---M--	200	added ('OK')	image/jpeg	etag:%22565c9294-4bdaa%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/10/gallery-21-1740x980.jpg	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/10/gallery-21-1740x980.jpg	(from http://unicaevents.ancorathemes.com/all-posts/)
17:58:42	80807/80807	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2012:29:55%20GMT	http://unicaevents.ancorathemes.com/promoting-events-business-on-facebook/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/promoting-events-business-on-facebook/index.html	(from http://unicaevents.ancorathemes.com/all-posts/)
17:58:58	287295/287295	---M--	200	added ('OK')	image/jpeg	etag:%225759966a-4623f%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/11/home4-4-1740x980.jpg	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/11/home4-4-1740x980.jpg	(from http://unicaevents.ancorathemes.com/all-posts/)
17:58:59	80242/80242	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Nov%202017%2012:30:12%20GMT	http://unicaevents.ancorathemes.com/can-you-compete/	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/can-you-compete/index.html	(from http://unicaevents.ancorathemes.com/all-posts/)
17:59:09	188591/188591	---M--	200	added ('OK')	image/jpeg	etag:%2257599690-2e0af%22	http://unicaevents.ancorathemes.com/wp-content/uploads/2015/11/home4-2-1740x980.jpg	C:/Users/Admin/Desktop/demo-event/unicaevents.ancorathemes.com/wp-content/uploads/2015/11/home4-2-1740x980.jpg	(from http://unicaevents.ancorathemes.com/all-posts/)
